ort,cc,place_type,attractiveness_score,state_name
Lake Winnipeg,CA,nature_reserve,85,Manitoba
Schwarzsee,CH,nature_reserve,85,Valais
Laguna Beach,US,beach,85,California
Schwerin,DE,medium_town,85,Mecklenburg-Vorpommern
Palermo,IT,city,85,Sicily
Kamenovo Beach,ME,beach,85,Budva Municipality
Mjøsa,NO,nature_reserve,85,Innlandet
Donner Lake,US,nature_reserve,85,California
Örebro,SE,medium_town,85,Örebro County
Route 66,US,scenic_drive,85,Arizona
Stelvio Pass,IT,scenic_drive,85,South Tyrol
Lake Winnipesaukee,US,nature_reserve,85,New Hampshire
Joensuu,FI,medium_town,85,North Karelia
Perpignan,FR,medium_town,85,Occitania
Östersund,SE,medium_town,85,Jämtland County
Pacific Coast Highway,US,scenic_drive,85,California
Struga,MK,medium_town,85,Southwestern
Lake Powell,US,nature_reserve,85,Arizona
Amalfi Coast Drive,IT,scenic_drive,85,Campania
Hamar,NO,medium_town,85,Innlandet
Dijon,FR,medium_town,85,Bourgogne – Franche-Comté
Thun,CH,medium_town,85,Bern
Lake George,US,nature_reserve,85,New York
Lake Trasimeno,IT,nature_reserve,85,Umbria
Shkodër,AL,medium_town,85,Shkodër County
Potsdam,DE,medium_town,85,Brandenburg
Hämeenlinna,FI,medium_town,85,Kanta-Häme
Avram Iancu,RO,village,84,Alba
Ciocănești,RO,village,84,Suceava
Nevesinje,BA,small_town,84,Republika Srpska
Predeal,RO,small_town,84,Brașov
Fundu Moldovei,RO,village,84,Suceava
Jina,RO,village,84,Sibiu
Carova Beach,US,beach,84,Virginia
Cetăţeni,RO,village,84,Argeș
Bisoca,RO,village,84,Buzău
Izvoarele Sucevei,RO,village,84,Suceava
Borsec,RO,village,84,Harghita
Arieşeni,RO,village,84,Alba
Azuga,RO,village,84,Prahova
Cârlibaba,RO,village,84,Suceava
Bicaz-Chei,RO,village,84,Neamț
Comandău,RO,village,84,Covasna
Zemeş,RO,small_town,84,Bacău
Cliffs of Moher,IE,nature_reserve,84,County Clare
Moldova Suliţa,RO,village,84,Suceava
Breaza,RO,village,84,Prahova
Vlăhiţa,RO,small_town,84,Harghita
Coșna,RO,village,84,Suceava
Dealu,RO,village,84,Harghita
Bălan,RO,small_town,84,Harghita
Sinaia,RO,small_town,84,Prahova
Bilbor,RO,village,84,Harghita
Poiana Sibiului,RO,village,84,Sibiu
Čajniče,BA,village,84,Republika Srpska
Tulgheş,RO,village,84,Harghita
Han Pijesak,BA,village,84,Republika Srpska
Ghimeş-Făget,RO,small_town,84,Bacău
Dorna Cândrenilor,RO,village,84,Suceava
Panaci,RO,village,84,Suceava
Chichen Itza,MX,nature_reserve,84,Yucatán
Cavnic,RO,small_town,84,Maramureș
Vărşag,RO,village,84,Harghita
Voineasa,RO,village,84,Vâlcea
Borca,RO,small_town,84,Neamț
Iacobeni,RO,village,84,Suceava
Sopot Beach,PL,beach,84,Pomeranian Voivodeship
Kalinovik,BA,village,84,Republika Srpska
Poiana Stampei,RO,village,84,Suceava
Gheorgheni,RO,small_town,84,Harghita
Kneževo,BA,small_town,84,Republika Srpska
Valea Ierii,RO,village,84,Cluj
Clearwater Beach,US,beach,84,Florida
Lunca de Jos,RO,small_town,84,Harghita
Étretat Beach,FR,beach,84,Normandy
Tomislavgrad,BA,small_town,84,Herzeg-Bosnia County
Usedom Strand,DE,beach,84,Mecklenburg-Vorpommern
Şaru Dornei,RO,village,84,Suceava
Poiana Vadului,RO,village,84,Alba
Plage de la Baule,FR,beach,84,Pays de la Loire
Dâmbovicioara,RO,village,84,Argeș
Gacko,BA,village,84,Republika Srpska
Vatra Dornei,RO,small_town,84,Suceava
Scărişoara,RO,village,84,Alba
Voșlăbeni,RO,village,84,Harghita
Warnemünde Strand,DE,beach,84,Mecklenburg-Vorpommern
Beliş,RO,village,84,Cluj
Gârda de Sus,RO,village,84,Alba
Mărgău,RO,village,84,Cluj
Pismo Beach,US,beach,84,California
Alcalá la Real,ES,medium_town,83,Andalusia
Cimarron,US,village,83,Kansas
Alhama de Granada,ES,small_town,83,Andalusia
Des Moines,US,city,83,Iowa
Chadron,US,small_town,83,Nebraska
Cork,IE,medium_town,83,County Cork
Cualedro,ES,village,83,Galicia
Béjar,ES,small_town,83,Castile and León
Hoxie,US,village,83,Kansas
Ipswich,GB,medium_town,83,Suffolk
Andrews,US,small_town,83,Texas
Albaladejo,ES,village,83,Castile-La Mancha
Imperia,IT,medium_town,83,Liguria
Salvaterra de Magos,PT,small_town,83,Santarém
Elizabeth City,US,small_town,83,North Carolina
Lansing,US,medium_town,83,Michigan
Custer,US,village,83,South Dakota
Fatsa,TR,medium_town,83,Ordu
Hochfilzen,AT,village,83,Tirol
Hugo,US,village,83,Colorado
Timrå,SE,small_town,83,Västernorrland County
Imst,AT,small_town,83,Tirol
Columbus,US,village,83,Montana
Valdevimbre,ES,village,83,Castile and León
Ischgl,AT,village,83,Tirol
Buitrago del Lozoya,ES,village,83,Community of Madrid
Kühlungsborn Strand,DE,beach,83,Mecklenburg-Vorpommern
Chalkída,GR,medium_town,83,Central Greece
Aguilar de Campoo,ES,small_town,83,Castile and León
Lakeview,US,village,83,Oregon
Mira,ES,village,83,Castile-La Mancha
Bozkurt,TR,small_town,83,Kastamonu
Barcelonnette,FR,village,83,Provence-Alpes-Côte d'Azur
Mariahof,AT,village,83,Steiermark
Castle Dale,US,village,83,Utah
La Spezia,IT,medium_town,83,Liguria
Balchik,BG,small_town,83,Dobrich
Kermit,US,small_town,83,Texas
Foujes,TR,small_town,83,Aegean Region
Wenns,AT,village,83,Tirol
Boulder,US,village,83,Montana
Labin,HR,small_town,83,Istria County
Big Lake,US,village,83,Texas
Enterprise,US,village,83,Oregon
Burley,US,small_town,83,Idaho
Covaleda,ES,village,83,Castile and León
Lermoos,AT,village,83,Tirol
Egersund,NO,small_town,83,Rogaland
Akçakoca,TR,medium_town,83,Düzce
Haugesund,NO,medium_town,83,Rogaland
Newtownards,GB,medium_town,83,County Down
Borkum Strand,DE,beach,83,Niedersachsen
Buffalo,US,village,83,Wyoming
La Grande,US,small_town,83,Oregon
Henichesk,UA,small_town,83,Kherson Oblast
Albarracín,ES,village,83,Aragon
Glenwood Springs,US,small_town,83,Colorado
Aurora,US,city,83,Illinois
Førde,NO,small_town,83,Vestland
Alturas,US,village,83,California
Altenmarkt im Pongau,AT,village,83,Salzburg
Cut Bank,US,village,83,Montana
Canove di Roana,IT,village,83,Veneto
Cabot Trail,CA,scenic_drive,83,Nova Scotia
Alliance,US,small_town,83,Nebraska
Great Falls,US,medium_town,83,Montana
České Budějovice,CZ,medium_town,83,South Bohemian Region
Gor,ES,village,83,Andalusia
Gelibolu,TR,medium_town,83,Canakkale
Chetumal,MX,medium_town,83,Quintana Roo
Easton,US,small_town,83,Maryland
Guadix,ES,small_town,83,Andalusia
Figueira da Foz,PT,medium_town,83,Coimbra
Berdyansk,UA,medium_town,83,Zaporizhia Oblast
Livinallongo del Col di Lana,IT,village,83,Veneto
Altdorf,CH,small_town,83,Uri
Clovis,US,medium_town,83,New Mexico
Frederiksværk,DK,small_town,83,Capital
Chapala,MX,medium_town,83,Jalisco
Boise City,US,village,83,Oklahoma
Alhambra,ES,village,83,Castile-La Mancha
Kappl,AT,village,83,Tirol
Gaschurn,AT,village,83,Vorarlberg
Baza,ES,medium_town,83,Andalusia
Lac de Moiry,CH,natural_park,83,Valais
Bender Eregli,TR,medium_town,83,Zonguldak
Farmington,US,medium_town,83,Utah
Flensburg,DE,medium_town,83,Schleswig-Holstein
La Concha Beach,ES,beach,83,Basque Country
Flekkefjord,NO,small_town,83,Agder
Huelva,ES,medium_town,83,Andalusia
Atlanta,US,city,83,Georgia
Las Animas,US,village,83,Colorado
Kungsbacka,SE,small_town,83,Halland County
Demre,TR,small_town,83,Antalya
Nerpio,ES,village,83,Castile-La Mancha
Astorga,ES,small_town,83,Castile and León
Brownfield,US,small_town,83,Texas
Ayllón,ES,village,83,Castile and León
Porvoo,FI,medium_town,83,Uusimaa
Bridgeport,US,village,83,Nebraska
Tekkeköy,TR,small_town,83,Samsun
Gillette,US,medium_town,83,Wyoming
Billings,US,medium_town,83,Montana
Burhaniye,TR,medium_town,83,Balıkesir
Fallon,US,small_town,83,Nevada
Galera,ES,village,83,Andalusia
Åkersberga,SE,medium_town,83,Stockholm County
Helsingør,DK,medium_town,83,Capital
Fontana Lake,US,natural_park,83,North Carolina
Benavides,ES,village,83,Castile and León
Akçaabat,TR,medium_town,83,Trabzon
Ehrwald,AT,village,83,Tirol
Horten,NO,medium_town,83,Vestfold
Greeley,US,medium_town,83,Colorado
Fairfield,US,village,83,Idaho
Bustarviejo,ES,village,83,Community of Madrid
Dillon,US,village,83,Montana
Gries am Brenner,AT,village,83,Tirol
Guymon,US,small_town,83,Oklahoma
Arsuz,TR,medium_town,83,Hatay
Umhausen,AT,village,83,Tirol
Lander,US,small_town,83,Wyoming
Hopewell,US,medium_town,83,Virginia
Cantimpalos,ES,village,83,Castile and León
Kerteminde,DK,small_town,83,Southern
